   Variables="wavelength", "n", "k"
  0.30000000,   1.49848686,   0.89987778
  0.31000000,   1.19327974,   0.61678390
  0.32000000,   0.77236188,   0.56460073
  0.33000000,   0.42343546,   0.76701333
  0.34000000,   0.27555461,   1.02454860
  0.35000000,   0.21394196,   1.22962007
  0.36000000,   0.18193646,   1.39775782
  0.37000000,   0.16332514,   1.54289968
  0.38000000,   0.15195157,   1.67261522
  0.39000000,   0.14486448,   1.79132143
  0.40000000,   0.14045358,   1.90182608
  0.41000000,   0.13777352,   2.00602788
  0.42000000,   0.13624301,   2.10526827
  0.43000000,   0.13549293,   2.20052622
  0.44000000,   0.13528320,   2.29253446
  0.45000000,   0.13545462,   2.38185283
  0.46000000,   0.13589995,   2.46891657
  0.47000000,   0.13654594,   2.55406923
  0.48000000,   0.13734195,   2.63758568
  0.49000000,   0.13825263,   2.71968849
  0.50000000,   0.13925302,   2.80055994
  0.51000000,   0.14032538,   2.88035078
  0.52000000,   0.14145701,   2.95918690
  0.53000000,   0.14263877,   3.03717430
  0.54000000,   0.14386403,   3.11440295
  0.55000000,   0.14512799,   3.19094979
  0.56000000,   0.14642716,   3.26688107
  0.57000000,   0.14775900,   3.34225415
  0.58000000,   0.14912167,   3.41711903
  0.59000000,   0.15051384,   3.49151952
  0.60000000,   0.15193455,   3.56549417
  0.61000000,   0.15338315,   3.63907709
  0.62000000,   0.15485915,   3.71229860
  0.63000000,   0.15636224,   3.78518574
  0.64000000,   0.15789223,   3.85776270
  0.65000000,   0.15944897,   3.93005126
  0.66000000,   0.16103242,   4.00207103
  0.67000000,   0.16264255,   4.07383976
  0.68000000,   0.16427936,   4.14537355
  0.69000000,   0.16594289,   4.21668705
  0.70000000,   0.16763317,   4.28779361
  0.71000000,   0.16935025,   4.35870547
  0.72000000,   0.17109418,   4.42943382
  0.73000000,   0.17286501,   4.49998896
  0.74000000,   0.17466280,   4.57038035
  0.75000000,   0.17648760,   4.64061675
  0.76000000,   0.17833944,   4.71070622
  0.77000000,   0.18021837,   4.78065626
  0.78000000,   0.18212442,   4.85047380
  0.79000000,   0.18405764,   4.92016530
  0.80000000,   0.18601804,   4.98973676
  0.81000000,   0.18800565,   5.05919378
  0.82000000,   0.19002048,   5.12854157
  0.83000000,   0.19206256,   5.19778504
  0.84000000,   0.19413189,   5.26692874
  0.85000000,   0.19622847,   5.33597696
  0.86000000,   0.19835232,   5.40493373
  0.87000000,   0.20050342,   5.47380282
  0.88000000,   0.20268178,   5.54258779
  0.89000000,   0.20488740,   5.61129199
  0.90000000,   0.20712025,   5.67991858
