   Variables="wavelength", "n", "k"
  0.30000000,   1.73036965,   1.87391182
  0.31000000,   1.74095449,   1.83541742
  0.32000000,   1.73448776,   1.79852011
  0.33000000,   1.71219592,   1.76878977
  0.34000000,   1.67793082,   1.75120057
  0.35000000,   1.63791506,   1.74860025
  0.36000000,   1.59936433,   1.76033232
  0.37000000,   1.56823469,   1.78198545
  0.38000000,   1.54721064,   1.80675073
  0.39000000,   1.53506998,   1.82771699
  0.40000000,   1.52754661,   1.83983950
  0.41000000,   1.51889559,   1.84084234
  0.42000000,   1.50333074,   1.83115049
  0.43000000,   1.47597082,   1.81331766
  0.44000000,   1.43331471,   1.79134727
  0.45000000,   1.37341785,   1.77010895
  0.46000000,   1.29595154,   1.75489056
  0.47000000,   1.20227341,   1.75101151
  0.48000000,   1.09553201,   1.76334636
  0.49000000,   0.98065265,   1.79561144
  0.50000000,   0.86387684,   1.84947191
  0.51000000,   0.75163598,   1.92392390
  0.52000000,   0.64911082,   2.01554445
  0.53000000,   0.55929599,   2.11962494
  0.54000000,   0.48301683,   2.23148065
  0.55000000,   0.41958676,   2.34727138
  0.56000000,   0.36755216,   2.46422969
  0.57000000,   0.32522658,   2.58053855
  0.58000000,   0.29098454,   2.69509760
  0.59000000,   0.26338820,   2.80730168
  0.60000000,   0.24122190,   2.91686988
  0.61000000,   0.22348313,   3.02372521
  0.62000000,   0.20935655,   3.12791373
  0.63000000,   0.19818401,   3.22955183
  0.64000000,   0.18943615,   3.32879243
  0.65000000,   0.18268758,   3.42580374
  0.66000000,   0.17759623,   3.52075633
  0.67000000,   0.17388647,   3.61381545
  0.68000000,   0.17133550,   3.70513682
  0.69000000,   0.16976260,   3.79486458
  0.70000000,   0.16902047,   3.88313060
  0.71000000,   0.16898849,   3.97005460
  0.72000000,   0.16956732,   4.05574472
  0.73000000,   0.17067471,   4.14029838
  0.74000000,   0.17224210,   4.22380318
  0.75000000,   0.17421204,   4.30633790
  0.76000000,   0.17653603,   4.38797341
  0.77000000,   0.17917291,   4.46877352
  0.78000000,   0.18208749,   4.54879579
  0.79000000,   0.18524954,   4.62809224
  0.80000000,   0.18863291,   4.70670995
  0.81000000,   0.19221483,   4.78469170
  0.82000000,   0.19597541,   4.86207638
  0.83000000,   0.19989716,   4.93889950
  0.84000000,   0.20396462,   5.01519351
  0.85000000,   0.20816407,   5.09098817
  0.86000000,   0.21248331,   5.16631083
  0.87000000,   0.21691138,   5.24118669
  0.88000000,   0.22143849,   5.31563904
  0.89000000,   0.22605580,   5.38968941
  0.90000000,   0.23075533,   5.46335779
